,Tipo,Descripcion,Habitaciones,Banos,Area,Barrio,UPZ,Valor,Moneda,Precio,Precio_Millon,Valor_m2_Barrio,Valor_m2_Millon
0,Apartamento,Apartamento en venta en Zona Noroccidental,3,2,70,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 360.000.000,$,360000000,360.0,4.572008510026535,5.142857142857143
1,Casa,Casa en venta en Castilla,4,3,170,Castilla,KENNEDY: Castilla + Bavaria,$ 670.000.000,$,670000000,670.0,3.4035893155258763,3.9411764705882355
2,Apartamento,Apartamento en venta en Chico Reservado,3,3,144,Chico Reservado,CHAPINERO: Chicó Lago + El Refugio,$ 1.120.000.000,$,1120000000,1120.0,8.104486540013072,7.777777777777778
3,Apartamento,Apartamento en venta en Usaquén,3,2,154,Usaquén,Usaquén,$ 890.000.000,$,890000000,890.0,5.65558134903221,5.779220779220779
4,Apartamento,Apartamento en venta en Bella Suiza,2,3,128,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 970.000.000,$,970000000,970.0,6.2905507012394,7.578125
5,Apartamento,Apartamento en venta en Bella Suiza,1,2,62,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 510.000.000,$,510000000,510.0,6.2905507012394,8.225806451612904
6,Apartamento,Apartamento en venta en Bella Suiza,1,2,62,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 500.000.000,$,500000000,500.0,6.2905507012394,8.064516129032258
7,Apartamento,Apartamento en venta en Bella Suiza,3,4,212,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 2.350.000.000,$,2350000000,2350.0,6.2905507012394,11.084905660377359
8,Apartamento,Apartamento en venta en El Chicó,3,2,159,El Chicó,CHAPINERO: Chicó Lago + El Refugio,$ 850.000.000,$,850000000,850.0,7.648045112781955,5.345911949685535
9,Apartamento,Apartamento en venta en Bella Suiza,2,2,80,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 642.000.000,$,642000000,642.0,6.2905507012394,8.025
10,Apartamento,Apartamento en venta en Bella Suiza,2,2,80,Bella Suiza,USAQUÉN: Country Club + Santa Bárbara,$ 652.000.000,$,652000000,652.0,6.2905507012394,8.15
11,Casa,Casa en venta en Tintala,3,2,59,Tintala,Tintala,$ 168.000.000,$,168000000,168.0,3.7991992442958873,2.847457627118644
12,Apartamento,Apartamento en venta en Tintala,2,1,45,Tintala,Tintala,$ 205.000.000,$,205000000,205.0,3.7991992442958873,4.555555555555555
13,Casa,Casa en venta en Marly,3,3,147,Marly,CHAPINERO: Pardo Rubio + Chapinero,$ 300.000.000,$,300000000,300.0,4.9375,2.0408163265306123
14,Apartamento,Apartamento en venta en Kennedy,4,3,98,Kennedy,Kennedy Central,$ 680.000.000,$,680000000,680.0,3.382897908271655,6.938775510204081
15,Casa,Casa en venta en Zona Noroccidental,3,4,300,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 2.519.000.000,$,2519000000,2519.0,4.572008510026535,8.396666666666667
16,Apartamento,Apartamento en venta en Nicolas De Federman,3,2,87,Nicolas De Federman,Teusaquillo,$ 420.000.000,$,420000000,420.0,5.992745920204822,4.827586206896552
